index,name,hex,r,g,b,c,m,y,k,combinations
1,Hermosa Pink,#f7c9d5,247,201,213,0,30,6,0,176 227 273
2,Corinthian Pink,#f6bdc1,246,189,193,0,35,15,0,27 43 87 97 128 169 174 206 246 254 264 342
3,Cameo Pink,#e5bcbc,229,188,188,10,32,19,0,101 105 116 120 165 231
4,Fawn,#d6b8aa,214,184,170,18,31,30,0,18 125 308
5,Light Brown Drab,#c1a19e,193,161,158,8,30,20,25,35 68 185 191 223 239 244 268 285 321
6,Coral Red,#f09082,240,144,130,0,55,40,0,92 123 320 332
7,Fresh Color,#f1947c,241,148,124,0,53,45,0,240
8,Grenadine Pink,#ef805f,239,128,95,0,62,58,0,6 21 112 166 193 201 230 300 315 341
9,Eosine Pink,#ed7e92,237,126,146,0,63,23,0,34 59 90 108 134 153 197 242 248 276 287 314 327 336
10,Spinel Red,#ec6e8d,236,110,141,0,70,21,0,14 147 165 184 195 224 277
11,Old Rose,#d56a75,213,106,117,15,70,40,0,55 162 260 265
12,Eugenia Red | A,#e05d53,224,93,83,7,76,60,0,284
13,Eugenia Red | B,#db4f58,219,79,88,0,80,50,10,17 77 252 262 270 280 282 325
14,Raw Sienna,#c37608,195,118,8,18,58,100,12,3 13 33 70 86 130 131 182 243 247 252 255 268 269 279 293 298 319 327
15,Vinaceous Tawny,#cb6012,203,96,18,17,72,100,6,40 85 244
16,Jasper Red,#e74c0a,231,76,10,2,83,100,0,155 194 216 219
17,Spectrum Red,#df0716,223,7,22,5,100,100,0,257 266 301 322
18,Red Orange,#db3915,219,57,21,9,90,100,0,31 164 179 241 264
19,Etruscan Red,#ca503d,202,80,61,16,80,74,6,25 47 97 137 152 185 275
20,Burnt Sienna,#b65115,182,81,21,22,76,100,15,198 242 263 285 286 297 312 333 343
21,Ochre Red,#b45447,180,84,71,18,73,63,20,199 283
22,Scarlet,#cf2438,207,36,56,10,95,72,7,136 308 332
23,Carmine,#cd002d,205,0,45,0,100,75,16,39 117 122 154 225 232 307 313
24,Indian Lake,#c93465,201,52,101,12,89,35,9,299 331
25,Rosolanc Purple,#b8366d,184,54,109,30,90,33,0,48 144 170 204 277 346
26,Pomegranite Purple,#bc0b50,188,11,80,23,100,50,6,220 271
